ContactID,FriendlyName,Text,StartTime,EndTime,Duration,EntityType,Description,RegulatoryCompliance,SpeakerID,SpeakerName
16363810,null,redactcc,435.5,435.8,0.3,null,null,null,1,Agent
16363811,null,redactacct,321.2,322.7,1.5,null,null,null,1,Agent
16363811,null,redactacct,322.7,322.9,0.2,null,null,null,1,Agent
16363811,null,redactacct,325.7,331.6,5.9,null,null,null,1,Agent
16363811,null,redactacct,332.2,334,1.8,null,null,null,1,Agent
16363811,null,redactacct,334,336.4,2.4,null,null,null,1,Agent
16363811,null,redactacct,336.4,338.3,1.9,null,null,null,1,Agent
16363811,null,redactacct,338.3,340.5,2.2,null,null,null,1,Agent
16363813,null,redactccback,153.3,154.3,1,null,null,null,1,Agent
16363813,null,redactcvvwd,241.3,254,12.7,null,null,null,1,Agent
16363813,null,redactcc,319.7,320.9,1.2,null,null,null,1,Agent
16363813,null,redactcc,322.1,323.4,1.3,null,null,null,1,Agent
16363813,null,redactcc,337.2,337.8,0.6,null,null,null,1,Agent
16363817,null,redactcc,171.5,171.9,0.4,null,null,null,1,Agent
16363817,null,redactcc,596,597,1,null,null,null,1,Agent
16363818,null,redactcc,184.3,185.7,1.4,null,null,null,1,Agent
16363818,null,redactcc,223,224.1,1.1,null,null,null,1,Agent
16363818,null,redactcc,224.1,224.3,0.2,null,null,null,1,Agent
16363819,null,redactacct,86.7,87.3,0.6,null,null,null,1,Agent
16363819,null,redactacct,87.6,90.6,3,null,null,null,1,Agent
16363822,null,redactcc,628.1,629.7,1.6,null,null,null,1,Agent
16363822,null,redactexpwd,658.6,667.2,8.6,null,null,null,1,Agent
16363823,null,redactcc,442.2,443.3,1.1,null,null,null,1,Agent
16363823,null,redactcc,443.3,443.8,0.5,null,null,null,1,Agent
16363823,null,redactcc,669.3,670.4,1.1,null,null,null,1,Agent
16363823,null,redactcc,768.9,770.6,1.7,null,null,null,1,Agent
16363823,null,redactcc,780.7,781.6,0.9,null,null,null,1,Agent
16363824,null,redactssn,496.5,497.8,1.3,null,null,null,1,Agent
16363824,null,redactssn,499.1,500.5,1.4,null,null,null,1,Agent
16363824,null,redactcc,533.8,535.4,1.6,null,null,null,1,Agent
16363824,null,redactcc,677.3,678,0.7,null,null,null,1,Agent
